model,subject_index,participant_id,alpha_stable,alpha_volatile,delta_log_alpha,beta,rho,side_bias,alpha_general,avoidance,anxiety,insecurity,reappraisal,suppression,maternal_care,maternal_overprotection,paternal_care,paternal_overprotection
M4_block_alpha_full_response,8,13536157,0.3278578756127122,0.32558466039696904,0.05019633011335,0.2251810173165975,0.1037669624178875,-0.232337957105605,NA,4.5,5.888888889,5.235294118,4,5.25,25,12,16,11
M4_block_alpha_full_response,9,13536182,0.384582667968739,0.3200590557511013,-0.22901490650567,0.595263577615365,0.45093724406068525,-2.4790043339,NA,6.25,6.333333333,6.294117647,1,5.5,6,25,5,35
M4_block_alpha_full_response,10,13536213,0.00236773176252555,0.012000104377062625,1.6728522835087,43.77673395875,0.602753817248935,-0.005885072390172499,NA,1.875,2.444444444,2.176470588,5.333333333,3,36,9,9,19
M4_block_alpha_full_response,11,13536326,0.2637278025263539,0.2734629393123795,0.596850368853475,0.9338714651163,0.04395325415362397,-0.0778298786548025,NA,5.875,5,5.411764706,4.666666667,6.75,15,23,20,20
M4_block_alpha_full_response,12,13536402,0.204135898067575,0.15071762855375,-0.2622072588165725,6.9631364189,1.4301001955525,-0.2889020883090425,NA,5.75,3.666666667,4.647058824,5,4,14,18,17,15
M4_block_alpha_full_response,13,13536814,0.3473667756348335,0.32690167093614964,-0.18873659725056025,0.5139788694754125,0.51584073902123,2.042805783275,NA,4.125,3.888888889,4,4,4.5,25,20,20,16
M4_block_alpha_full_response,14,13537400,0.3159712584574029,0.3827799053585505,0.4612508116177225,0.217494040285505,0.01515780657867,-0.3137063577723775,NA,3.5,2.777777778,3.117647059,3.666666667,2.25,33,19,16,7
M4_block_alpha_full_response,15,13537557,0.2718044489743712,0.676016039904975,1.228712189618932,2.3761697453625,1.16657961574,-0.07095567340359525,NA,2.25,2.333333333,2.294117647,5.5,3,36,4,36,4
M4_block_alpha_full_response,16,13537616,0.3350396952276954,0.3621252474557702,0.174835324978725,0.1186017671060625,0.1550441197908375,-0.180348950381495,NA,2.625,3.444444444,3.058823529,4,3.75,26,14,24,14
M4_block_alpha_full_response,17,13540235,0.3354239162807158,0.381887322103977,0.4809162498444455,0.308463818253625,0.131119528649289,-0.338262284880775,NA,3.625,3.888888889,3.764705882,4.833333333,4.25,20,17,19,18
M4_block_alpha_full_response,18,13540898,0.2271204566793035,0.4481471136413675,2.24554513000311,1.2435972852017,0.1567046106502565,-0.485670984865015,NA,5,3,3.941176471,5,3.75,36,11,7,11
M4_block_alpha_full_response,19,13541825,0.30702425483112145,0.3759718062375655,0.4311007599249425,0.097049204251115,-0.005162668766851525,0.17909951948975775,NA,4.5,3.333333333,3.882352941,5,2.5,32,9,25,7
M4_block_alpha_full_response,20,13542049,0.3020616402478726,0.3484830089551488,0.33435329408977,0.516332992534025,0.1400805927631825,-3.33647720265,NA,2.75,5.666666667,4.294117647,5.666666667,5.75,12,9,12,7
M4_block_alpha_full_response,21,13542332,0.38914518573728,0.70828894734055,0.89876571615243,2.3359175062825,1.896145614035,-0.227528479730975,NA,3.5,2.333333333,2.882352941,5.333333333,1.5,35,5,29,2
M4_block_alpha_full_response,22,13543315,0.36702369378429023,0.37354747949347034,0.06568744786142,0.370020010159175,-0.0907449016900125,0.4253219815430475,NA,2.625,3.888888889,3.294117647,4.666666667,4.75,14,20,16,20
