model,ppc_draw,condition,metric,value
M3_block_alpha_stickiness,18,Volatile2,switch_after_loss,0.4483985765124555
M3_block_alpha_stickiness,18,Volatile2,switch_after_no_loss,0.2953929539295393
M3_block_alpha_stickiness,18,Volatile3,optimal_choice,0.57
M3_block_alpha_stickiness,18,Volatile3,choose_blue,0.4461538461538462
M3_block_alpha_stickiness,18,Volatile3,stay_rate,0.6115384615384616
M3_block_alpha_stickiness,18,Volatile3,switch_after_loss,0.4859504132231405
M3_block_alpha_stickiness,18,Volatile3,switch_after_no_loss,0.3035971223021583
M3_block_alpha_stickiness,19,Stable,optimal_choice,0.5958974358974359
M3_block_alpha_stickiness,19,Stable,choose_blue,0.5594871794871795
M3_block_alpha_stickiness,19,Stable,stay_rate,0.6185136897001304
M3_block_alpha_stickiness,19,Stable,switch_after_loss,0.44263217097862767
M3_block_alpha_stickiness,19,Stable,switch_after_no_loss,0.32863393291200776
M3_block_alpha_stickiness,19,Volatile1,optimal_choice,0.5923076923076923
M3_block_alpha_stickiness,19,Volatile1,choose_blue,0.4346153846153846
M3_block_alpha_stickiness,19,Volatile1,stay_rate,0.6176923076923077
M3_block_alpha_stickiness,19,Volatile1,switch_after_loss,0.4380305602716469
